domain,category,title,url,source,expected_type,tags
cybercrime_laws,case_law,"Section 464 in The Indian Penal Code, 1860",https://indiankanoon.org/doc/1745798/,indiankanoon,html,cybercrime;legal
cybercrime_laws,case_law,"Section 3 in The Indian Evidence Act , 1872",https://indiankanoon.org/doc/1031309/,indiankanoon,html,cybercrime;legal
cybercrime_laws,case_law,Entire Act,https://indiankanoon.org/doc/1953529/,indiankanoon,html,cybercrime;legal
cybercrime_laws,case_law,"Section 45 in The Indian Evidence Act , 1872",https://indiankanoon.org/doc/1025384/,indiankanoon,html,cybercrime;legal
cybercrime_laws,case_law,"Section 466 in The Indian Penal Code, 1860",https://indiankanoon.org/doc/1053937/,indiankanoon,html,cybercrime;legal
cybercrime_laws,case_law,"Section 73 in The Indian Evidence Act , 1872",https://indiankanoon.org/doc/770022/,indiankanoon,html,cybercrime;legal
cybercrime_laws,case_law,"Section 51 in The Information Technology Act , 2000",https://indiankanoon.org/doc/1477060/,indiankanoon,html,cybercrime;legal
cybercrime_laws,case_law,"Section 46 in The Unlawful Activities (Prevention) Act , 1967",https://indiankanoon.org/doc/150327236/,indiankanoon,html,cybercrime;legal
cybercrime_laws,case_law,Entire Act,https://indiankanoon.org/doc/1389751/,indiankanoon,html,cybercrime;legal
cybercrime_laws,case_law,"Section 64 in The Information Technology Act , 2000",https://indiankanoon.org/doc/1962230/,indiankanoon,html,cybercrime;legal
cybercrime_laws,case_law,"Section 55 in The Information Technology Act , 2000",https://indiankanoon.org/doc/1865820/,indiankanoon,html,cybercrime;legal
cybercrime_laws,case_law,"Section 24 in The Information Technology Act , 2000",https://indiankanoon.org/doc/1040076/,indiankanoon,html,cybercrime;legal
cybercrime_laws,case_law,"Section 23 in The Information Technology Act , 2000",https://indiankanoon.org/doc/1514290/,indiankanoon,html,cybercrime;legal
cybercrime_laws,case_law,"Section 91 in The Information Technology Act , 2000",https://indiankanoon.org/doc/1735825/,indiankanoon,html,cybercrime;legal
cybercrime_laws,case_law,"Section 61 in The Information Technology Act , 2000",https://indiankanoon.org/doc/1774397/,indiankanoon,html,cybercrime;legal
cybercrime_laws,case_law,"Section 33 in The Information Technology Act , 2000",https://indiankanoon.org/doc/993519/,indiankanoon,html,cybercrime;legal
cybercrime_laws,case_law,"Section 16 in The Information Technology Act , 2000",https://indiankanoon.org/doc/940650/,indiankanoon,html,cybercrime;legal
cybercrime_laws,case_law,Full Document,https://indiankanoon.org/doc/70981105/,indiankanoon,html,cybercrime;legal
cybercrime_laws,case_law,Full Document,https://indiankanoon.org/doc/52491729/,indiankanoon,html,cybercrime;legal
cybercrime_laws,case_law,Full Document,https://indiankanoon.org/doc/196894795/,indiankanoon,html,cybercrime;legal
cybercrime_laws,case_law,Full Document,https://indiankanoon.org/doc/116355009/,indiankanoon,html,cybercrime;legal
cybercrime_laws,case_law,Full Document,https://indiankanoon.org/doc/192504406/,indiankanoon,html,cybercrime;legal
cybercrime_laws,case_law,Full Document,https://indiankanoon.org/doc/16601408/,indiankanoon,html,cybercrime;legal
cybercrime_laws,case_law,Full Document,https://indiankanoon.org/doc/90005566/,indiankanoon,html,cybercrime;legal
cybercrime_laws,case_law,Full Document,https://indiankanoon.org/doc/119536729/,indiankanoon,html,cybercrime;legal
cybercrime_laws,case_law,Full Document,https://indiankanoon.org/doc/29240036/,indiankanoon,html,cybercrime;legal
cybercrime_laws,case_law,Full Document,https://indiankanoon.org/doc/56426617/,indiankanoon,html,cybercrime;legal
cybercrime_laws,case_law,"Section 2 in The Bihar Value Added Tax Act , 2005",https://indiankanoon.org/doc/656947/,indiankanoon,html,cybercrime;legal
cybercrime_laws,case_law,Entire Act,https://indiankanoon.org/doc/1939811/,indiankanoon,html,cybercrime;legal
cybercrime_laws,case_law,Full Document,https://indiankanoon.org/doc/105489341/,indiankanoon,html,cybercrime;legal
cybercrime_laws,case_law,Full Document,https://indiankanoon.org/doc/51782092/,indiankanoon,html,cybercrime;legal
cybercrime_laws,case_law,Full Document,https://indiankanoon.org/doc/144700479/,indiankanoon,html,cybercrime;legal
