domain,doc_id,url,exact_in_robots
property_rights,1711998,https://indiankanoon.org/doc/1711998/,no
property_rights,32811487,https://indiankanoon.org/doc/32811487/,no
property_rights,46863673,https://indiankanoon.org/doc/46863673/,no
property_rights,1076997,https://indiankanoon.org/doc/1076997/,no
property_rights,849616,https://indiankanoon.org/doc/849616/,no
property_rights,213340,https://indiankanoon.org/doc/213340/,no
property_rights,164038868,https://indiankanoon.org/doc/164038868/,no
property_rights,288997,https://indiankanoon.org/doc/288997/,no
property_rights,133190430,https://indiankanoon.org/doc/133190430/,no
property_rights,124606142,https://indiankanoon.org/doc/124606142/,no
property_rights,251353,https://indiankanoon.org/doc/251353/,no
property_rights,139118497,https://indiankanoon.org/doc/139118497/,no
property_rights,130835646,https://indiankanoon.org/doc/130835646/,no
property_rights,69542729,https://indiankanoon.org/doc/69542729/,no
property_rights,54544239,https://indiankanoon.org/doc/54544239/,no
property_rights,96085858,https://indiankanoon.org/doc/96085858/,no
property_rights,21713401,https://indiankanoon.org/doc/21713401/,no
property_rights,104763396,https://indiankanoon.org/doc/104763396/,no
property_rights,51906627,https://indiankanoon.org/doc/51906627/,no
property_rights,28740054,https://indiankanoon.org/doc/28740054/,no
property_rights,82084445,https://indiankanoon.org/doc/82084445/,no
property_rights,37313227,https://indiankanoon.org/doc/37313227/,no
property_rights,98853113,https://indiankanoon.org/doc/98853113/,no
property_rights,1120139,https://indiankanoon.org/doc/1120139/,no
property_rights,803172,https://indiankanoon.org/doc/803172/,no
property_rights,1480466,https://indiankanoon.org/doc/1480466/,no
property_rights,1824281,https://indiankanoon.org/doc/1824281/,no
property_rights,397599,https://indiankanoon.org/doc/397599/,no
property_rights,107503577,https://indiankanoon.org/doc/107503577/,no
property_rights,225447,https://indiankanoon.org/doc/225447/,no
property_rights,680600,https://indiankanoon.org/doc/680600/,no
property_rights,72126677,https://indiankanoon.org/doc/72126677/,no
cybercrime_laws,139318141,https://indiankanoon.org/doc/139318141/,no
cybercrime_laws,157003932,https://indiankanoon.org/doc/157003932/,no
cybercrime_laws,136280608,https://indiankanoon.org/doc/136280608/,no
cybercrime_laws,147390199,https://indiankanoon.org/doc/147390199/,no
cybercrime_laws,56699948,https://indiankanoon.org/doc/56699948/,no
cybercrime_laws,68207149,https://indiankanoon.org/doc/68207149/,no
cybercrime_laws,71199828,https://indiankanoon.org/doc/71199828/,no
cybercrime_laws,59897051,https://indiankanoon.org/doc/59897051/,no
cybercrime_laws,101865435,https://indiankanoon.org/doc/101865435/,no
cybercrime_laws,128274054,https://indiankanoon.org/doc/128274054/,no
cybercrime_laws,36272070,https://indiankanoon.org/doc/36272070/,no
cybercrime_laws,173972362,https://indiankanoon.org/doc/173972362/,no
cybercrime_laws,114497915,https://indiankanoon.org/doc/114497915/,no
cybercrime_laws,187064597,https://indiankanoon.org/doc/187064597/,no
cybercrime_laws,98223685,https://indiankanoon.org/doc/98223685/,no
cybercrime_laws,168068781,https://indiankanoon.org/doc/168068781/,no
cybercrime_laws,132743320,https://indiankanoon.org/doc/132743320/,no
cybercrime_laws,113775404,https://indiankanoon.org/doc/113775404/,no
cybercrime_laws,80271632,https://indiankanoon.org/doc/80271632/,no
cybercrime_laws,113138773,https://indiankanoon.org/doc/113138773/,no
cybercrime_laws,172915181,https://indiankanoon.org/doc/172915181/,no
cybercrime_laws,135883640,https://indiankanoon.org/doc/135883640/,no
cybercrime_laws,43741476,https://indiankanoon.org/doc/43741476/,no
cybercrime_laws,179410258,https://indiankanoon.org/doc/179410258/,no
cybercrime_laws,51287776,https://indiankanoon.org/doc/51287776/,no
cybercrime_laws,174276637,https://indiankanoon.org/doc/174276637/,no
cybercrime_laws,71479511,https://indiankanoon.org/doc/71479511/,no
cybercrime_laws,42573768,https://indiankanoon.org/doc/42573768/,no
cybercrime_laws,97881509,https://indiankanoon.org/doc/97881509/,no
cybercrime_laws,17071886,https://indiankanoon.org/doc/17071886/,no
cybercrime_laws,2710325,https://indiankanoon.org/doc/2710325/,no
cybercrime_laws,42228674,https://indiankanoon.org/doc/42228674/,no
cybercrime_laws,87916970,https://indiankanoon.org/doc/87916970/,no
cybercrime_laws,50068052,https://indiankanoon.org/doc/50068052/,no
cybercrime_laws,174204263,https://indiankanoon.org/doc/174204263/,no
cybercrime_laws,172759716,https://indiankanoon.org/doc/172759716/,no
cybercrime_laws,137485518,https://indiankanoon.org/doc/137485518/,no
cybercrime_laws,94188064,https://indiankanoon.org/doc/94188064/,no
cybercrime_laws,60394627,https://indiankanoon.org/doc/60394627/,no
cybercrime_laws,154957176,https://indiankanoon.org/doc/154957176/,no
cybercrime_laws,1127741,https://indiankanoon.org/doc/1127741/,no
cybercrime_laws,1569253,https://indiankanoon.org/doc/1569253/,no
cybercrime_laws,545792,https://indiankanoon.org/doc/545792/,no
cybercrime_laws,1277726,https://indiankanoon.org/doc/1277726/,no
cybercrime_laws,1318767,https://indiankanoon.org/doc/1318767/,no
cybercrime_laws,1965344,https://indiankanoon.org/doc/1965344/,no
cybercrime_laws,326206,https://indiankanoon.org/doc/326206/,no
