domain,category,title,url,source,expected_type,tags
property_rights,case_law,Entire Act,https://indiankanoon.org/doc/1489134/,indiankanoon,html,property;legal
property_rights,case_law,"Transfer of Property Act , 1977",https://indiankanoon.org/doc/3482533/,indiankanoon,html,property;legal
property_rights,case_law,"Section 3 in The Transfer Of Property Act , 1882",https://indiankanoon.org/doc/1345438/,indiankanoon,html,property;legal
property_rights,case_law,"Section 53 in The Transfer Of Property Act , 1882",https://indiankanoon.org/doc/1693670/,indiankanoon,html,property;legal
property_rights,case_law,"Section 41 in The Transfer Of Property Act , 1882",https://indiankanoon.org/doc/584197/,indiankanoon,html,property;legal
property_rights,case_law,"Section 85 in The Transfer Of Property Act , 1882",https://indiankanoon.org/doc/149328/,indiankanoon,html,property;legal
property_rights,case_law,"Section 32 in The Transfer Of Property Act , 1882",https://indiankanoon.org/doc/324708/,indiankanoon,html,property;legal
property_rights,case_law,"Section 90 in The Transfer Of Property Act , 1882",https://indiankanoon.org/doc/24975403/,indiankanoon,html,property;legal
property_rights,case_law,"Section 2 in The Government Grants Act , 1895",https://indiankanoon.org/doc/907595/,indiankanoon,html,property;legal
property_rights,case_law,Entire Act,https://indiankanoon.org/doc/1625086/,indiankanoon,html,property;legal
property_rights,case_law,Full Document,https://indiankanoon.org/doc/72595235/,indiankanoon,html,property;legal
property_rights,case_law,Full Document,https://indiankanoon.org/doc/870157/,indiankanoon,html,property;legal
property_rights,case_law,Full Document,https://indiankanoon.org/doc/1296130/,indiankanoon,html,property;legal
property_rights,case_law,Full Document,https://indiankanoon.org/doc/187154176/,indiankanoon,html,property;legal
property_rights,case_law,Full Document,https://indiankanoon.org/doc/1064891/,indiankanoon,html,property;legal
property_rights,case_law,Full Document,https://indiankanoon.org/doc/1269771/,indiankanoon,html,property;legal
property_rights,case_law,"Section 124 in The Transfer Of Property Act , 1882",https://indiankanoon.org/doc/1601260/,indiankanoon,html,property;legal
property_rights,case_law,"Section 133 in The Transfer Of Property Act , 1882",https://indiankanoon.org/doc/1906948/,indiankanoon,html,property;legal
